Scan REF,E01-08-dd.gpr;E01-10-dd.gpr,E01-08-dd.gpr;E01-10-dd.gpr,E01-08-dd.gpr;E01-10-dd.gpr,htu_yap04mM_2_1.gpr;htu_yap04mM_add1.gpr,htu_yap04mM_2_1.gpr;htu_yap04mM_add1.gpr,htu_yap04mM_2_1.gpr;htu_yap04mM_add1.gpr,mena_wt.gpr;mena_wt22.gpr,mena_wt.gpr;mena_wt22.gpr,mena_wt.gpr;mena_wt22.gpr,htu_skn04mM_2.gpr;htu_skn04mM_add.gpr,htu_skn04mM_2.gpr;htu_skn04mM_add.gpr,htu_skn04mM_2.gpr;htu_skn04mM_add.gpr,mena_sy.gpr;mena_sy22.gpr,mena_sy.gpr;mena_sy22.gpr,mena_sy.gpr;mena_sy22.gpr,E01-07-WT.gpr;E01-09-WT.gpr,E01-07-WT.gpr;E01-09-WT.gpr,E01-07-WT.gpr;E01-09-WT.gpr
Reporter REF,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2
CAGL0A01892g,-0.818773727,null,null,0.437185807,1.161302189,1.518738137,null,null,null,0.386456074,0.077530053,0.036784008,null,null,null,null,null,null
CAGL0A01914g,-0.759503227,0.310401869,0.197439255,0.181266278,0.093823872,0.029325063,-0.335307513,0.609979538,1.016814858,-0.048615026,0.290676437,0.254260294,-0.240531579,0.529717022,0.562872152,-0.504006338,0.340672494,0.419070315
CAGL0A01958g,-0.625634779,0.1609299,0.08489971,0.911363927,0.528551973,1.418804712,-0.536605764,0.469326675,0.457672932,0.698782963,0.253926893,0.35635567,-0.148597148,0.022835097,1.625959811,-0.118815358,0.460351087,0.475928413
CAGL0A01980g,0.358390781,0.244623965,0.166849732,0.095060922,0.111724386,0.040515386,null,null,null,-0.549641965,null,null,null,null,null,-0.612797773,null,null
CAGL0A02002g,0.309669743,null,null,null,null,null,0.453994034,null,null,null,null,null,null,null,null,null,null,null
CAGL0A02024g,0.438328138,0.545738943,0.350693136,-0.18585811,0.118845239,0.044967734,null,null,null,0.10057172,null,null,1.024785336,0.269497922,0.334331343,null,null,null
CAGL0A02046g,0.523545431,0.203840435,0.209067092,-0.030225715,0.606133596,0.191629238,null,null,null,0.075196908,0.130053425,0.075844994,null,null,null,0.222038143,1.484923189,1.623516694
CAGL0A02090g,-0.543086814,0.182143545,0.129465168,-0.143682581,0.707023152,0.184991272,-0.714888305,0.935741357,0.176975326,-0.138373388,0.34702973,0.219496134,-1.236567427,0.694998289,0.052235817,-0.362382976,0.250205639,0.417660441
CAGL0A02112g,-0.192506356,0.170093682,0.12646792,-0.366621388,0.552148601,0.148859033,-0.693067593,1.505558581,0.303029226,-0.352732427,0.494789574,0.520160308,-1.078939212,0.781464524,0.117125328,0.002938466,0.313467022,0.394883376
CAGL0A02134g,0.036344548,0.144044082,0.170099996,0.130864127,0.165199752,0.132781124,null,null,null,-0.021769769,null,null,0.735066061,null,null,null,null,null
CAGL0A02145g,-0.510027003,0.076337521,0.058740826,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CAGL0A02189g,-0.403176735,0.564770154,0.653160252,0.047402367,0.153414451,0.787269401,-0.459613697,0.583073624,0.430645032,-0.13025177,0.374717166,0.299486924,-1.154719665,0.346917057,0.175562567,-0.388755337,0.348788425,0.389182633
CAGL0A02211g,-1.477584142,0.270091181,0.319301956,-1.471736415,0.635536129,0.085150811,0.518507612,1.37672379,0.224913166,-0.968238843,0.322317333,0.31117359,-1.559541738,0.978248401,0.169330692,-0.682678345,0.769303743,0.188272139
CAGL0A02211g,-1.394495227,0.134187151,0.160256482,-0.795157453,0.618128514,0.160585793,-0.154329814,1.094328502,0.142452637,-0.696373069,0.305631405,0.163850089,-1.945518645,0.692512943,0.153092777,-0.889824865,0.717055344,0.139113888
CAGL0A02233g,-1.481522971,0.333538545,0.406598126,-0.892872411,0.592169597,0.133124507,0.459653566,1.293711648,0.161618271,-1.050911907,0.252414577,0.298648605,-1.820630997,0.694398018,0.019419883,-0.867731679,0.597023403,0.263863143
CAGL0A02255g,-0.875048963,0.170766319,0.229628753,0.284725239,0.058755906,0.533236472,0.227332353,1.108485804,0.017861587,-0.394655212,0.26718074,0.131946187,-0.078295581,0.881192425,0.116900907,-0.530801361,0.793748107,0.653464281
CAGL0A02277g,-0.824511679,0.052690251,0.119840957,0.16728939,0.297462884,0.472662674,0.154222859,1.004943491,0.195103586,-0.527668004,0.393985383,0.255327899,0.084290817,0.752551417,0.089451365,-0.168531655,0.540608059,0.291825555
CAGL0A02299g,0.793882046,0.170004439,0.192411486,-0.405361554,0.888006172,1.390657662,0.433302183,0.650626975,0.468405907,-0.306499992,0.573668972,0.49167751,-0.99168953,0.104678783,0.393862472,0.317868816,0.78109264,1.317659932
CAGL0A02321g,-0.935219206,0.328537379,0.335770219,0.176059475,0.854993539,0.24036142,-0.519402027,0.878680692,0.398538918,-0.194477026,0.527433432,0.572657913,1.146979995,0.340296428,0.262107717,-0.682261863,0.27638319,0.721825012
CAGL0A02365g,-0.474051088,0.078212315,0.19330399,0.042071441,0.343981897,0.280956284,-0.785925411,0.770379127,0.337902252,-0.054646968,0.274526927,0.181032095,-0.80641409,0.712938066,0.101428924,null,null,null
